towerid,Latitudine,Longitudine,active,eNb,seNb,status,type,Nomesito,contributo,Bande
DGREFPKEAY,43.878228,11.08707,Attivo,200001,Non presente,Verificato,0,Prato,Leobwh,
XNOAHDCCTI,43.4653626,11.872132,Attivo,200002,Non presente,Non verificato,0,Arezzo,SYSTEM,
VSYRCMRJEN,43.4648942,11.874433,Attivo,200003,Non presente,Non verificato,0,Arezzo,SYSTEM,
NHJQGTDDPG,43.4637276,11.872458,Attivo,200004,Non presente,Non verificato,0,Arezzo,SYSTEM,
KSWFALUYMW,43.873671,11.102104,Attivo,200005,Non presente,Verificato,0,Prato,Leobwh,
JOSXRPTPQI,44.4115535,8.901922,Attivo,200006,Non presente,Non verificato,0,Genova,SYSTEM,
XDPRKVECEN,44.4114192,8.9011927,Attivo,200007,Non presente,Non verificato,0,Genova,SYSTEM,
REIEVBDKSV,44.392003,9.0041506,Attivo,200008,Non presente,Non verificato,0,Genova,SYSTEM,
KRLDLTIFSU,44.3916798,9.0048798,Attivo,200009,Non presente,Non verificato,0,Genova,SYSTEM,
STJIIQOUFD,44.4061345,8.9384745,Attivo,200010,Non presente,Non verificato,0,Genova,SYSTEM,
RWQWATPJOP,44.411781,8.9259723,Attivo,200011,Non presente,Non verificato,0,Genova,SYSTEM,
FNAPXWYVHB,43.7145846,10.401002,Attivo,200012,Non presente,Non verificato,0,Pisa,SYSTEM,
AEFOQITGPH,43.7346896,10.420765,Attivo,200013,Non presente,Non verificato,0,Pisa,SYSTEM,
TSCMPUVKNH,43.7386905,10.422302,Attivo,200014,Non presente,Non verificato,0,Pisa,SYSTEM,
DSGAJJGTWL,43.706312,10.39153,Attivo,200015,Non presente,Non verificato,0,Pisa,SYSTEM,
MISITUUDDT,43.725044,10.401882,Attivo,200016,Non presente,Non verificato,0,Pisa,SYSTEM,
OBMBJLJPLM,43.7122513,10.375344,Attivo,200017,Non presente,Non verificato,0,Pisa,SYSTEM,
NCQDOLWCES,43.7135698,10.37881,Attivo,200018,Non presente,Non verificato,0,Pisa,SYSTEM,
LERQUHYBGF,43.8779673,11.073399,Non attivo,200019,Non presente,Non verificato,0,Prato,SYSTEM,
OGLSQXYRTR,43.8881663,11.071924,Attivo,200020,Non presente,Non verificato,0,Prato,SYSTEM,
LVUXQGDABV,43.8780354,11.0733708,Attivo,200021,Non presente,Verificato,0,Prato,Leobwh,
HHHOGSOXMI,43.7255155,10.386383,Attivo,200022,Non presente,Non verificato,0,Pisa,SYSTEM,
TYQXQMDXEW,43.7266513,10.385419,Attivo,200023,Non presente,Non verificato,0,Pisa,SYSTEM,
RFNSTPIAOA,43.8884065,11.083777,Attivo,200024,Non presente,Non verificato,0,Prato,SYSTEM,
OPTORQJRDG,44.4539135,8.8985615,Attivo,200025,Non presente,Non verificato,0,Genova,SYSTEM,
ECJDEKMLHR,44.4547245,8.8992582,Attivo,200026,Non presente,Non verificato,0,Genova,SYSTEM,
GQWIWNJTVN,44.430277,8.7681915,Attivo,200027,Non presente,Non verificato,0,Genova,SYSTEM,
EWJLSXVWUP,44.431317,8.769285,Attivo,200028,Non presente,Non verificato,0,Genova,SYSTEM,
AROTUTALIV,44.429615,8.8128693,Attivo,200029,Non presente,Non verificato,0,Genova,SYSTEM,
QLYGJJUDBB,44.4268045,8.7919805,Attivo,200030,Non presente,Non verificato,0,Genova,SYSTEM,
WJOXSJXECK,44.4167656,8.8865153,Attivo,200031,Non presente,Non verificato,0,Genova,SYSTEM,
XVKHPPIUKM,44.4160511,8.8844175,Attivo,200032,Non presente,Non verificato,0,Genova,SYSTEM,
LQBPTLSDSR,44.482189,8.899804,Attivo,200033,Non presente,Non verificato,0,Genova,SYSTEM,
BCSOJQXUFS,44.4213555,8.8565175,Attivo,200035,Non presente,Non verificato,0,Genova,SYSTEM,
VFBRTBJRPB,44.4206483,8.8493718,Attivo,200037,Non presente,Non verificato,0,Genova,SYSTEM,
NXXABADUDR,44.393465,8.9808975,Attivo,200038,Non presente,Non verificato,0,Genova,SYSTEM,
GFFDLBALLQ,44.39818,8.96496,Attivo,200039,Non presente,Non verificato,0,Genova,SYSTEM,
WOOXVCVLDC,44.397351,8.96335,Attivo,200040,Non presente,Non verificato,0,Genova,SYSTEM,
YRILHUPJPH,43.468696,11.858058,Attivo,200041,Non presente,Non verificato,0,Arezzo,SYSTEM,
FNHJINSPNH,43.4693701,11.857707,Attivo,200042,Non presente,Non verificato,0,Arezzo,SYSTEM,
LLVVNIMNNE,44.477014,8.9137292,Attivo,200043,Non presente,Non verificato,0,Genova,SYSTEM,
CYVIBBMQIF,44.4265516,8.8887763,Attivo,200044,Non presente,Non verificato,0,Genova,SYSTEM,
BECIQTYGXH,44.4258715,8.8877861,Attivo,200045,Non presente,Non verificato,0,Genova,SYSTEM,
VUFITBTGIA,44.410075,8.9399,Attivo,200046,Non presente,Non verificato,0,Genova,SYSTEM,
CFSAKEPTIJ,44.4080133,8.940247,Attivo,200047,Non presente,Non verificato,0,Genova,SYSTEM,
YRXXOUCVDY,44.41137,8.8853593,Attivo,200048,Non presente,Non verificato,0,Genova,SYSTEM,
KYXXWOGVYM,44.399659,8.9482253,Attivo,200049,Non presente,Non verificato,0,Genova,SYSTEM,
BSQITYIEXM,44.3897745,8.9933905,Attivo,200050,Non presente,Non verificato,0,Genova,SYSTEM,
OGWQAMDTFY,44.393221,8.955815,Attivo,200051,Non presente,Non verificato,0,Genova,SYSTEM,
FCXLJFFYVH,44.4288483,8.8589273,Attivo,200052,Non presente,Non verificato,0,Genova,SYSTEM,
VNYXDUYNKM,44.427089,8.845844,Attivo,200053,Non presente,Non verificato,0,Genova,SYSTEM,
HEXXIDMIHS,44.4277027,8.84537,Attivo,200054,Non presente,Non verificato,0,Genova,SYSTEM,
GQOJQMKRQN,44.416804,8.9108755,Attivo,200055,Non presente,Non verificato,0,Genova,SYSTEM,
HPFQRHVYAC,44.4270815,8.799669,Attivo,200056,Non presente,Non verificato,0,Genova,SYSTEM,
RURTHJPTWJ,44.4267795,8.7974175,Attivo,200057,Non presente,Non verificato,0,Genova,SYSTEM,
QLQNDCIBYJ,43.7135546,10.423603,Attivo,200058,Non presente,Non verificato,0,Pisa,SYSTEM,
RBBQAHYSKV,43.7151016,10.423506,Attivo,200059,Non presente,Non verificato,0,Pisa,SYSTEM,
AOTMHYHOBU,44.3953656,8.9545336,Attivo,200060,Non presente,Non verificato,0,Genova,SYSTEM,
CPPCFKFVOA,44.3950928,8.9558243,Attivo,200061,Non presente,Non verificato,0,Genova,SYSTEM,
AJRPCEDLGP,44.4341515,8.9607905,Attivo,200062,Non presente,Non verificato,0,Genova,SYSTEM,
TKAANAEJCN,44.4361951,8.9619704,Attivo,200063,Non presente,Non verificato,0,Genova,SYSTEM,
GTPXDBCABV,44.4063096,8.9607186,Attivo,200064,Non presente,Non verificato,0,Genova,SYSTEM,
ASIRICNDXJ,44.4063541,8.961477,Attivo,200065,Non presente,Non verificato,0,Genova,SYSTEM,
XDIFJQMFFG,44.4030433,8.9817496,Attivo,200066,Non presente,Non verificato,0,Genova,SYSTEM,
NXCQIFXBTH,44.4042854,8.9800624,Attivo,200067,Non presente,Non verificato,0,Genova,SYSTEM,
PHXRBHYSEC,44.417192,8.936567,Attivo,200068,Non presente,Non verificato,0,Genova,SYSTEM,
SKLXMAJJUE,44.3892533,9.0111566,Attivo,200069,Non presente,Non verificato,0,Genova,SYSTEM,
GEWRSVVBRD,44.4148393,8.8583366,Attivo,200070,Non presente,Non verificato,0,Genova,SYSTEM,
XPXAYFGNHP,43.2292585,10.658974,Attivo,200071,Non presente,Non verificato,0,Castagneto Carducci,SYSTEM,
DIRQIKCMAG,44.4057093,8.944398,Attivo,200072,Non presente,Non verificato,0,Genova,SYSTEM,
PISBDDPIFI,44.4051456,8.943376,Attivo,200073,Non presente,Non verificato,0,Genova,SYSTEM,
DTNBFYMOSG,44.4072833,8.9701943,Attivo,200075,Non presente,Non verificato,0,Genova,SYSTEM,
TSGQOIENPM,44.4023305,8.6696225,Attivo,200076,Non presente,Non verificato,0,Arenzano,SYSTEM,
PBOYAAADPC,43.4589483,11.861138,Attivo,200077,Non presente,Non verificato,0,Arezzo,SYSTEM,
TYXGNJLXHE,44.4074463,8.9608723,Attivo,200078,Non presente,Non verificato,0,Genova,SYSTEM,
IBXMLKFTIA,44.4076595,8.9627561,Attivo,200079,Non presente,Non verificato,0,Genova,SYSTEM,
OCVKCCMJVB,44.3925991,8.9681251,Attivo,200081,Non presente,Non verificato,0,Genova,SYSTEM,
DQOHVCRTAX,44.416217,8.9537796,Attivo,200082,Non presente,Non verificato,0,Genova,SYSTEM,
XVWHTAQHLO,44.4155744,8.953554,Attivo,200083,Non presente,Non verificato,0,Genova,SYSTEM,
KRIXJJLGWH,44.407687,8.929839,Attivo,200084,Non presente,Non verificato,0,Genova,SYSTEM,
KJHKHAHLLC,44.4082545,8.9338275,Attivo,200085,Non presente,Non verificato,0,Genova,SYSTEM,
OJJEABOBEF,44.406195,8.931513,Attivo,200086,Non presente,Non verificato,0,Genova,SYSTEM,
CAUUOXPQNX,44.4045927,8.9307657,Attivo,200087,Non presente,Non verificato,0,Genova,SYSTEM,
KGGGYLOFTW,44.408133,8.945685,Attivo,200088,Non presente,Non verificato,0,Genova,SYSTEM,
LXMGKIVWLP,44.429098,8.7524125,Attivo,200089,Non presente,Non verificato,0,Genova,SYSTEM,
IKVQDELVVR,44.4290427,8.7556027,Attivo,200090,Non presente,Non verificato,0,Genova,SYSTEM,
PRSEVNBXNL,43.8862643,11.05147,Attivo,200091,Non presente,Non verificato,0,Prato,SYSTEM,
VABTEPUFQM,43.8840615,11.051032,Attivo,200092,Non presente,Non verificato,0,Prato,SYSTEM,
CNIJWKSXNS,43.8633913,11.068491,Attivo,200093,Non presente,Non verificato,0,Prato,SYSTEM,
SVGAKBGLBC,43.8855913,11.078515,Attivo,200094,Non presente,Non verificato,0,Prato,SYSTEM,
WVRWCDVELV,43.8847356,11.079683,Attivo,200095,Non presente,Non verificato,0,Prato,SYSTEM,
DGWLJBVJKL,43.8883513,11.1000671,Attivo,200096,Non presente,Verificato,0,Prato,Leobwh,
ECAEBQQLPW,43.848847,11.055784,Attivo,200097,Non presente,Non verificato,0,Prato,SYSTEM,
HMSYXBPMGA,43.849328,11.054773,Attivo,200098,Non presente,Non verificato,0,Prato,SYSTEM,
JKTNKNHBOR,43.890659,11.065745,Attivo,200099,Non presente,Non verificato,0,Prato,SYSTEM,
BEFPTDAXKO,43.893135,11.07667,Attivo,200100,Non presente,Non verificato,0,Prato,SYSTEM,
SNWNCECLTX,43.8941606,11.077699,Attivo,200101,Non presente,Non verificato,0,Prato,SYSTEM,
NJQYGPAXFB,43.8673523,11.079519,Non attivo,200102,Non presente,Non verificato,0,Prato,SYSTEM,
AODLXGVNGL,43.8687585,11.0806126,Attivo,200103,Non presente,Verificato,0,Prato,Leobwh,
EEFRYLROBC,43.8421626,11.03488,Attivo,200104,Non presente,Non verificato,0,Prato,SYSTEM,
TMRTJKUEAW,43.8749761,11.025528,Attivo,200105,Non presente,Non verificato,0,Prato,SYSTEM,
NHLDMDWFAW,43.8743356,11.017103,Attivo,200106,Non presente,Non verificato,0,Prato,SYSTEM,
QMOEMOEQTJ,43.7064543,10.434664,Attivo,200107,Non presente,Non verificato,0,Pisa,SYSTEM,
MPECSWMCIS,43.6926845,10.43285,Attivo,200109,Non presente,Non verificato,0,Pisa,SYSTEM,
